Asia,China,Guangxi,Xinyang,2481
South America,Bolivia,Santa Cruz,Brasilia,3543
South America,Brazil,Parana,Fortaleza,526
North America,Dominican Republic,San Pedro De Macoris,Lima,4034
North America,United States,Maryland,Florence,656
Asia,Kuwait,Al Jahra,Doha,858
North America,Costa Rica,Puntarenas,Santiago,1134
Asia,China,Hainan,Baotou,3497
Asia,Russian Federation,Novosibirsk,Novosibirsk,3809
Asia,Philippines,Cebu,Cordoba,2519
North America,United States,New York,Paris,2791
Europe,Turkey,Izmir,Izmir,1636
Africa,Guinea-Bissau,Bolama,Luanda,2137
South America,Chile,Antofagasta,Barranquilla,3083
Africa,Kenya,Nyanza,Luanda,3968
North America,United States,Alabama,Jerusalem,4872
South America,Peru,Loreto,Valencia,3638
North America,United States,Alabama,Florence,3949
North America,Mexico,Coahuila de Zaragoza,Puebla,4096
South America,Brazil,Rondonia,Fortaleza,2288
Asia,China,Chongqing,Chongqing,3749
North America,United States,Tennessee,Moscow,2547
Europe,Germany,Baden-Wurttemberg,Stuttgart,585
Asia,China,Fujian,Shenyang,1078
Asia,Syria,Hamah,Jinan,4472
North America,United States,Missouri,Philadelphia,1359
North America,United States,Illinois,Brooklyn,3996
North America,Mexico,Michoacan de Ocampo,Manila,2993
Asia,Philippines,Cagayan,Cordoba,2071
Asia,Iran,Esfahan,Kochi,2647
Asia,Indonesia,Jawa Tengah,Baku,4822
North America,Mexico,Jalisco,Santiago,2764
Asia,China,Shandong,Zibo,4700
North America,United States,Wisconsin,Milwaukee,4915
Asia,Turkey,Siirt,Paris,2670
South America,Brazil,Rio Grande do Norte,Sacramento,1950
Europe,Ireland,Tipperary,Portland,4531
Asia,Russian Federation,Voronezh,Samara,3807
North America,United States,New York,Austin,4629
North America,United States,Iowa,Lima,3864
South America,Venezuela,Zulia,Valencia,2053
North America,United States,Nebraska,Newcastle,4925
North America,Nicaragua,Carazo,Rosario,737
Asia,China,Zhejiang,Jinan,3218
Africa,Mozambique,Niassa,Samara,4061
North America,Nicaragua,Managua,Rosario,3197
Asia,Korea (South),Kyongsang-namdo,Changchun,2615
Africa,Mauritius,Plaines Wilhems,Phoenix,787
North America,United States,Missouri,Athens,3091
Asia,Philippines,Isabela,Santiago,4220
North America,United States,California,Johannesburg,1524
North America,United States,Indiana,Shanghai,1640
North America,United States,Missouri,Montreal,3308
Asia,Pakistan,North-West Frontier,Abbottabad,2908
North America,Guatemala,Jalapa,Valencia,1308
South America,Colombia,Cesar,Guadalajara,2200
South America,Venezuela,Guarico,Rosario,2664
North America,United States,Kentucky,Atlanta,4022
South America,Colombia,Arauca,Casablanca,4894
South America,Peru,Ayacucho,Santiago,2969
North America,United States,Maryland,Vienna,3469
North America,United States,North Dakota,Cleveland,3092
North America,United States,Georgia,Providence,2136
Asia,China,Gansu,Ganzhou,795
North America,United States,Iowa,Toronto,2312
South America,Colombia,Cordoba,Santiago,3692
South America,Bolivia,El Beni,Santiago,3688
Asia,Thailand,Krung Thep,Bangkok,3200
Asia,Iran,Semnan,Allahabad,1415
North America,United States,Kansas,Minneapolis,2859
North America,United States,Michigan,London,4525
Asia,Iran,Khorasan,Baghdad,3737
South America,Brazil,Parana,Luanda,989
North America,United States,California,Hamburg,3284
North America,United States,Virginia,Berlin,3394
North America,United States,Montana,Riverside,2641
North America,United States,Arizona,Riverside,1923
North America,United States,Arkansas,Warsaw,1504
Europe,Poland,Mazowieckie,Warsaw,3688
Africa,Gambia,Central River,Medina,3231
North America,United States,Maryland,Berlin,3251
South America,Colombia,Norte de Santander,Miami,3166
North America,United States,Minnesota,Houston,643
North America,United States,Kansas,Geneva,528
Africa,Mali,Tombouctou,Kano,2941
Europe,Portugal,Guarda,Santiago,1444
Asia,India,Punjab,Ludhiana,3215
North America,United States,Florida,Riverside,3278
North America,United States,Iowa,Washington,3851
North America,United States,Indiana,Miami,4328
Asia,India,Haryana,Aurangabad,1151
Africa,Zimbabwe,Mashonaland East,Milan,1752
Europe,Turkey,Ankara,Ankara,2962
Africa,Guinea-Bissau,Oio,Luanda,3910
North America,United States,Georgia,Budapest,998
Oceania,Vanuatu,Efate,Vienna,2552
Asia,Iran,Hormozgan,Tehran,4485
North America,United States,Kentucky,Houston,4992
Asia,China,Hubei,Changchun,3275
Asia,Indonesia,Yogyakarta,Bandung,3389
North America,United States,Nevada,Riverside,3988
South America,Peru,Lima,Fortaleza,1362
Africa,Sudan,Al Khartum,Omdurman,3412
Europe,Spain,Canarias,Santiago,936
North America,United States,California,Zurich,1377
North America,Panama,Bocas del Toro,Riverside,846
Europe,Germany,Berlin,Berlin,1029
Asia,Bangladesh,Rajshahi,Jaipur,1488
South America,Paraguay,Concepcion,Montevideo,3293
North America,United States,Tennessee,Portland,2642
South America,Bolivia,Chuquisaca,Salvador,2495
North America,United States,Missouri,Boston,1474
Europe,Great Britain (UK),Renfrewshire,Houston,1711
South America,Peru,Arequipa,Huambo,4021
North America,United States,West Virginia,Denver,706
South America,Brazil,Bahia,Recife,3657
North America,United States,Michigan,Vienna,1690
North America,Trinidad and Tobago,Tobago,Richmond,4480
North America,United States,New Hampshire,Lisbon,4610
South America,Peru,Madre de Dios,Barcelona,1932
North America,United States,Oregon,Austin,582
North America,United States,Georgia,Harbin,1571
North America,United States,Missouri,Toronto,1786
North America,United States,Arkansas,Washington,2843
South America,Venezuela,Portuguesa,Caracas,2826
North America,United States,Texas,Toluca,2681
North America,United States,Kansas,Detroit,764
North America,United States,Indiana,Mecca,3845
North America,United States,Wisconsin,Brussels,1959
Oceania,Solomon Islands,Makira,Riverside,2233
Africa,South Africa,Free State,Lusaka,1909
North America,United States,Puerto Rico,Valencia,1899
Asia,China,Jilin,Changchun,1403
North America,Mexico,Mexico,Toluca,1650
Europe,Great Britain (UK),Moray,Dallas,4622
North America,United States,Ohio,Havana,1713
Europe,Great Britain (UK),Staffordshire,Newcastle,4508
North America,United States,Tennessee,Austin,1206
South America,Argentina,Tucuman,Medina,3900
Africa,Nigeria,Federal Capital Territory,Abuja,1616
Asia,Viet Nam,Ha Noi,Hanoi,1543
North America,United States,Montana,Lima,2697
North America,United States,Illinois,Toronto,3963
North America,United States,Ohio,Birmingham,896
North America,Jamaica,Saint Mary,Aleppo,1588
North America,United States,Louisiana,Athens,1705
North America,United States,New York,Hamburg,1713
North America,Costa Rica,Limon,Atlanta,1870
Africa,Democratic Republic of the Congo,Orientale,Kampala,3573
North America,United States,Kentucky,Manchester,910
North America,Jamaica,Saint Ann,Alexandria,4656
Europe,Spain,Andalucia,Santiago,4312
South America,Colombia,Norte de Santander,Santiago,2505
South America,Peru,Cajamarca,Lima,1497
Asia,China,Tianjin,Tianjin,594
Asia,China,Shanxi,Dongguan,708
South America,Brazil,Piaui,Santiago,3233
Asia,China,Zhejiang,Xiping,4155
Africa,Angola,Benguela,Huambo,570
North America,Cuba,Matanzas,Rosario,3494
North America,United States,Texas,Calgary,4316
North America,United States,Tennessee,Cleveland,731
North America,United States,Texas,Richmond,3028
Asia,Indonesia,Sulawesi Tengah,Tampa,641
North America,United States,Alabama,Rome,698
Oceania,Australia,New South Wales,Raleigh,4658
North America,United States,Illinois,Raleigh,1107
North America,United States,Illinois,Bogota,4966
Africa,Angola,Cuanza Sul,Huambo,1959
Europe,Spain,Islas Baleares,Puebla,1955
North America,United States,Florida,Cairo,1120
North America,Mexico,Baja California,Santiago,3839
Asia,Philippines,Cavite,Santiago,2410
North America,United States,Florida,Dublin,4700
North America,United States,Georgia,Montevideo,2230
North America,United States,Arkansas,Paris,4337
Asia,China,Guangdong,Shantou,1164
South America,Colombia,Amazonas,Barranquilla,3072
North America,United States,Minnesota,Havana,665
Africa,South Africa,Eastern Cape,Geneva,3016
North America,United States,Ohio,Louisville,3189
North America,Mexico,Veracruz-Llave,Valencia,3995
Asia,China,Hunan,Luoyang,2617
North America,United States,Kentucky,Baltimore,2712
North America,United States,Oklahoma,Cairo,3879
South America,Colombia,Valle del Cauca,Monterrey,4361
Africa,South Africa,KwaZulu-Natal,Phoenix,4085
North America,United States,Ohio,Athens,3186
North America,United States,North Carolina,Austin,3516
Asia,Indonesia,Jawa Timur,Bandung,4087
North America,United States,Pennsylvania,Richmond,3543
Asia,China,Hubei,Mianyang,4390
North America,United States,New York,Delhi,2371
North America,United States,Massachusetts,Washington,4672
Africa,Nigeria,Kano,Kano,2769
North America,United States,New Mexico,Lisbon,3899
North America,United States,Mississippi,Athens,603
Asia,Pakistan,Punjab,Faisalabad,3080
North America,Cuba,Santiago de Cuba,Rosario,4123
Africa,Madagascar,Fianarantsoa,Ankara,4971
North America,United States,Nebraska,Houston,2177
North America,Guatemala,Zacapa,Santiago,3369
North America,Mexico,Sonora,Santiago,3464
South America,Ecuador,Guayas,Pretoria,3640
Asia,China,Hebei,Dongguan,1254
Europe,Sweden,Stockholms Lan,Stockholm,3705
South America,Argentina,Santa Fe,Casablanca,3570
Asia,Korea (South),Cheju-do,Suwon,3853
North America,United States,Idaho,Paris,3875
North America,United States,Ohio,Berlin,694
North America,United States,Wisconsin,Johannesburg,1661
North America,United States,New York,Orlando,4259
North America,United States,Iowa,Sheffield,1578
Asia,China,Jiangsu,Huaiyin,571
Asia,China,Fujian,Haikou,4960
North America,United States,Kentucky,Madrid,698
North America,United States,North Carolina,Lima,3619
North America,United States,Oregon,Richmond,2821
Europe,Spain,Galicia,Agra,4142
North America,United States,Georgia,Phoenix,1305
Africa,Democratic Republic of the Congo,Bas-Congo,Baku,3186
Europe,Spain,Asturias,Santiago,4047
South America,Ecuador,Azuay,Salvador,1803
North America,United States,Mississippi,Brooklyn,4627
South America,Colombia,Huila,Casablanca,1084
North America,Mexico,Baja California,Puebla,1404
North America,United States,Michigan,Memphis,2918
North America,Mexico,Morelos,Santiago,3227
North America,United States,Washington,Medina,4435
Asia,Iran,Esfahan,Allahabad,3537
Africa,Nigeria,Borno,Ibadan,3662
North America,United States,North Carolina,Riverside,3670
South America,Uruguay,Colonia,Rosario,4671
Asia,Pakistan,Punjab,Jaipur,4333
South America,Colombia,Valle del Cauca,Sevilla,692
North America,Cuba,Sancti Spiritus,Lima,2999
North America,United States,Virginia,Amsterdam,4212
Asia,Pakistan,Punjab,Kalyan,3993
North America,United States,Alabama,Moscow,3589
North America,United States,Vermont,Manchester,1678
South America,Peru,Huancavelica,Huambo,3843
South America,Guyana,Demerara-Mahaica,Providence,2739
Asia,China,Hebei,Zhangjiakou,4308
North America,United States,Illinois,Newcastle,1180
North America,United States,West Virginia,Berlin,4166
North America,Mexico,Sonora,Rosario,4977
North America,United States,Ohio,Newcastle,2582
Europe,Belarus,Minsk,Dublin,2612
Europe,Bulgaria,Razgrad,Alexandria,4763
South America,Brazil,Sao Paulo,Campinas,3833
North America,United States,Missouri,Nashville,2608
North America,Jamaica,Saint Mary,Providence,2127
Asia,China,Anhui,Wuxi,4724
North America,United States,New York,Geneva,3426
North America,United States,Indiana,Warsaw,4989
North America,United States,Arizona,Miami,3087
North America,United States,Ohio,Moscow,3707
North America,United States,North Dakota,Brisbane,4312
Europe,Germany,Bayern,Frankfurt,1829
North America,United States,Pennsylvania,Washington,3332
Africa,Equatorial Guinea,Centro Sur,Madrid,4937
North America,United States,Georgia,Atlanta,4505
Europe,Turkey,Istanbul,Istanbul,785
Asia,Japan,Toyama,Kano,2402
North America,Mexico,San Luis Potosi,Sacramento,2095
North America,United States,Minnesota,Brooklyn,2067
Europe,Bosnia and Herzegovina,Republika Srpska,Rabat,621
Europe,Belgium,Antwerpen,Essen,4671
North America,United States,Illinois,Chicago,3342
Asia,China,Shandong,Yiyang,4757
North America,United States,Alabama,Shanghai,1561
Asia,China,Jiangsu,Xiangyang,2234
North America,United States,Iowa,Geneva,1057
Asia,China,Nei Mongol,Chifeng,2495
North America,United States,Minnesota,London,1750
North America,United States,Georgia,Dublin,3480
North America,United States,South Dakota,Riverside,2472
Asia,China,Hubei,Wuhan,1571
Asia,India,Jharkhand,Jamshedpur,781
Europe,Albania,Vlore,Leshan,3150
North America,United States,North Carolina,Houston,2965
North America,Honduras,Lempira,Lima,2199
North America,Jamaica,Saint Mary,Brooklyn,3469
North America,Costa Rica,Heredia,Asuncion,1321
North America,United States,Georgia,Pretoria,1630
North America,United States,Georgia,Houston,3572
North America,United States,Nevada,Columbus,4315
Europe,Netherlands,Groningen,Essen,4300
South America,Bolivia,Chuquisaca,Kochi,1276
North America,United States,South Carolina,Paris,3880
Europe,Germany,Nordrhein-Westfalen,Essen,1227
Africa,South Africa,Mpumalanga,Phoenix,4741
North America,United States,West Virginia,Havana,1577
North America,Cuba,Camaguey,Salvador,645
Africa,Sudan,Al Wusta,Omdurman,1468
Europe,Turkey,Tunceli,Rabat,4827
Africa,South Africa,North-West,Atlanta,3040
North America,Nicaragua,Chinandega,Salvador,3054
North America,United States,Mississippi,Birmingham,2579
North America,Mexico,Oaxaca,Chicago,2003
Asia,China,Hebei,Baoding,4596
North America,United States,Arizona,Florence,2992
Asia,India,Tamil Nadu,Chennai,653
South America,Ecuador,Guayas,Monterrey,4378
Asia,Philippines,Albay,Manila,4735
North America,United States,Georgia,Rome,2247
Europe,Ireland,Wexford,Newcastle,826
North America,United States,Texas,Mecca,4459
North America,United States,New York,Portland,4328
North America,United States,Michigan,Columbus,3623
North America,United States,Georgia,Florence,2493
Asia,Iran,Yazd,Ahmadabad,3626
Asia,India,Jharkhand,Ranchi,1593
South America,Brazil,Ceara,Santos,3546
Asia,Philippines,Isabela,Cali,1059
Asia,Afghanistan,Paktia,Kalyan,3691
North America,United States,California,London,3913